,name,id,sweep_name,sweep_id,dev F1,n_all_params,train accuracy,n_combiner_params,dev eval epoch time,loss,_wandb,dev loss,_timestamp,n_classifier_params,epoch,train F1,dev accuracy,total epoch time,_step,_runtime,batch loss,train epoch time,n_pos_enc_params,n_bias_params,n_clas_params,n_circ_params,n_batch_norm_params,seed,epochs,emb_dim,optimizer,batch_size,hidden_dim,rnn_layers,vocab_size,learning_rate,n_layers,bias,gates,n_reps,pos_enc,clas_type,circ_in,batch_norm
10,expert-sweep-10,bq7pzgbb,sentemb_lstm_run,1fny4c0i,0.8411633109619687,160901,0.9721599429835632,160800.0,0.1579518516858419,0.0010522435910601906,{'runtime': 323},0.002958233032478105,1715245966.468096,101.0,29,0.9750296315039486,0.8371559633027523,4.807730221748352,31620,324.1086690425873,0.013319885358214378,4.649778370062511,,,,,,956,30,300,adam,64,100.0,1.0,,0.01,,,,,,,,
11,magic-sweep-9,hme35lrs,sentemb_lstm_run,1fny4c0i,0.8260381593714927,160901,0.977327057565814,160800.0,0.15609879891077677,0.0008639869171593444,{'runtime': 324},0.003759133911460911,1715245632.7820263,101.0,29,0.9797353788170344,0.8222477064220184,4.784559853871664,31620,324.70070147514343,0.03989424929022789,4.628461054960887,,,,,,543,30,300,adam,64,100.0,1.0,,0.01,,,,,,,,
12,apricot-sweep-8,45d3862n,sentemb_lstm_run,1fny4c0i,0.8372093023255814,160901,0.9797621345528515,160800.0,0.21817822058995565,0.000763478600321946,{'runtime': 571},0.003809617200029006,1715245295.2245383,101.0,29,0.9819007529180556,0.8314220183486238,8.903860263029735,31620,572.0516133308411,0.00859318021684885,8.68568204243978,,,,,,672,30,300,adam,64,100.0,1.0,,0.01,,,,,,,,
13,cosmic-sweep-7,j7nthn54,sentemb_lstm_run,1fny4c0i,0.8401323042998897,160901,0.9764064796804705,160800.0,0.22819803158442176,0.0009088824178120544,{'runtime': 629},0.0033227970157194576,1715244715.050916,101.0,29,0.9789097859124272,0.8337155963302753,9.860087502002717,31620,629.4685559272766,0.027407443150877953,9.631889470418296,,,,,,701,30,300,adam,64,100.0,1.0,,0.01,,,,,,,,
14,volcanic-sweep-6,90npwzqk,sentemb_lstm_run,1fny4c0i,0.8417508417508418,160901,0.9751740931565428,160800.0,0.2379389882087707,0.0009302510119065871,{'runtime': 676},0.003307513892650604,1715244074.7850451,101.0,29,0.977748795613638,0.838302752293578,10.638462650775908,31620,676.9894680976868,0.021932749077677727,10.40052366256714,,,,,,254,30,300,adam,64,100.0,1.0,,0.01,,,,,,,,
15,dandy-sweep-5,4k2ropqc,sentemb_lstm_run,1fny4c0i,0.8616071428571429,160901,0.9768964646839596,160800.0,0.23547817866007484,0.0008694966582629496,{'runtime': 670},0.0034836089118905024,1715243389.8325396,101.0,29,0.9793233582268052,0.8577981651376146,10.570495204130808,31620,671.22869348526,0.03949447721242905,10.335017025470732,,,,,,944,30,300,adam,64,100.0,1.0,,0.01,,,,,,,,
16,earthy-sweep-4,y6vdm2w9,sentemb_lstm_run,1fny4c0i,0.8526077097505669,160901,0.978143699238296,160800.0,0.23030851284662887,0.000822341693756011,{'runtime': 651},0.0030656239581764292,1715242707.51569,101.0,29,0.9804504887377816,0.8509174311926605,10.211547176043192,31620,651.8025200366974,0.05700508877635002,9.981238663196562,,,,,,506,30,300,adam,64,100.0,1.0,,0.01,,,,,,,,
17,curious-sweep-3,6gvafaid,sentemb_lstm_run,1fny4c0i,0.8396436525612472,160901,0.9743871475448782,160800.0,0.2327965140342713,0.0009718738173011594,{'runtime': 675},0.0030978786152437193,1715242043.5985522,101.0,29,0.9770846340847802,0.8348623853211009,10.627802209059398,31620,676.1070721149445,0.00900341384112835,10.395005695025128,,,,,,907,30,300,adam,64,100.0,1.0,,0.01,,,,,,,,
18,smooth-sweep-2,ew5iykft,sentemb_lstm_run,1fny4c0i,0.851063829787234,160901,0.9761540631635214,160800.0,0.23181406259536735,0.0009135144540778182,{'runtime': 671},0.002761628068641785,1715241356.084013,101.0,29,0.978707042851082,0.8474770642201835,10.55806487003962,31620,671.6187698841095,0.137369304895401,10.326250807444254,,,,,,615,30,300,adam,64,100.0,1.0,,0.01,,,,,,,,
19,lively-sweep-1,yhk02phr,sentemb_lstm_run,1fny4c0i,0.8416389811738649,160901,0.9766440481670108,160800.0,0.2255607763926188,0.0008947382150604115,{'runtime': 626},0.003117502111633983,1715240673.4009898,101.0,29,0.9791310116086236,0.8360091743119266,9.742660069465636,31620,626.5057806968689,0.040054354816675186,9.517099293073018,,,,,,579,30,300,adam,64,100.0,1.0,,0.01,,,,,,,,
20,youthful-sweep-10,jw969ozo,sentemb_mlp_run,4bn0i377,0.8050314465408805,361501,0.967720381891342,,0.1472150206565857,0.0003689108272762004,{'runtime': 145},0.00323546349728873,1718049250.9323137,,29,0.9709808318650222,0.786697247706422,1.842333988348643,7950,145.92406678199768,0.11978136003017426,1.6951189676920573,,,,,,856,30,300,adam,256,300.0,,,0.0001,5.0,,,,,,,
21,fragrant-sweep-9,71etrwbl,sentemb_mlp_run,4bn0i377,0.825945945945946,361501,0.96930912114508,,0.1539926648139954,0.0003487675128999051,{'runtime': 147},0.0028429303420793024,1718049087.9867954,,29,0.9724535895624824,0.8153669724770642,1.8572446862856549,7950,147.80058431625366,0.04891786351799965,1.7032520214716598,,,,,,542,30,300,adam,256,300.0,,,0.0001,5.0,,,,,,,
22,tough-sweep-8,p83rpr7b,sentemb_mlp_run,4bn0i377,0.8113413304252999,361501,0.9682252149252402,,0.1466957449913025,0.0003507574948425146,{'runtime': 149},0.002697714185769405,1718048930.7360134,,29,0.9714719918948465,0.801605504587156,1.8547217845916748,7950,149.97114729881287,0.03639832511544227,1.7080260396003724,,,,,,48,30,300,adam,256,300.0,,,0.0001,5.0,,,,,,,
23,electric-sweep-7,j30m3avo,sentemb_mlp_run,4bn0i377,0.7977777777777778,361501,0.9676164456784808,,0.14653774897257485,0.0003585391506929047,{'runtime': 146},0.002751591692277051,1718048771.298348,,29,0.9709444066983732,0.7912844036697247,1.852597788969676,7950,146.94147205352783,0.15362149477005005,1.7060600399971004,,,,,,77,30,300,adam,256,300.0,,,0.0001,5.0,,,,,,,
24,dulcet-sweep-6,c3969tsq,sentemb_mlp_run,4bn0i377,0.8025889967637541,361501,0.9679727984082912,,0.14752662976582842,0.0003600789198337482,{'runtime': 150},0.002785001496929641,1718048615.9406705,,29,0.9712004486160994,0.7901376146788991,1.85433140595754,7950,151.20844841003418,0.13892440497875214,1.7068047761917111,,,,,,61,30,300,adam,256,300.0,,,0.0001,5.0,,,,,,,
25,earnest-sweep-5,91o78s2u,sentemb_mlp_run,4bn0i377,0.793859649122807,361501,0.968997312506496,,0.14679309129714962,0.0003550820509013157,{'runtime': 152},0.0029574546518675777,1718048453.0567124,,29,0.9721488595438176,0.7844036697247706,1.8551972230275475,7950,153.22281050682068,0.02410082705318928,1.7084041317303975,,,,,,177,30,300,adam,256,300.0,,,0.0001,5.0,,,,,,,
26,visionary-sweep-4,43lh4r1e,sentemb_mlp_run,4bn0i377,0.8140276301806588,361501,0.9678985582562472,,0.14682517846425375,0.000368482689290571,{'runtime': 147},0.0025518254607642464,1718048288.444197,,29,0.9711325339813603,0.7993119266055045,1.856312465667725,7950,148.20656204223633,0.02729803137481213,1.7094872872034708,,,,,,290,30,300,adam,256,300.0,,,0.0001,5.0,,,,,,,
27,vocal-sweep-3,gijc53y2,sentemb_mlp_run,4bn0i377,0.7972972972972973,361501,0.9690121605369048,,0.14710303147633874,0.00034496157393011016,{'runtime': 150},0.002832540131490165,1718048130.7466133,,29,0.9721685092082628,0.7935779816513762,1.862534701824188,7950,150.31979727745056,0.014636125415563583,1.7154316703478505,,,,,,184,30,300,adam,256,300.0,,,0.0001,5.0,,,,,,,
28,northern-sweep-2,ge8rl35q,sentemb_mlp_run,4bn0i377,0.7987679671457906,361501,0.9660425544551516,,0.14661588271458945,0.0003656704375870565,{'runtime': 151},0.002965234151673973,1718047972.510049,,29,0.9695330713381736,0.7752293577981652,1.8653526067733768,7950,151.8962824344635,0.024402737617492676,1.7187367240587872,,,,,,682,30,300,adam,256,300.0,,,0.0001,5.0,,,,,,,
29,super-sweep-1,c0ml0g5d,sentemb_mlp_run,4bn0i377,0.8065573770491803,361501,0.9673194850703054,,0.14458145300547284,0.0003690725592701778,{'runtime': 147},0.003077197922479122,1718047808.7634122,,29,0.9706247414149772,0.7970183486238532,1.8442068378130596,7950,147.8357503414154,0.23922604322433472,1.6996253848075866,,,,,,323,30,300,adam,256,300.0,,,0.0001,5.0,,,,,,,
30,colorful-sweep-10,y1bc778s,sentemb_bow_run,lhj7yisr,0.8109289617486338,301,0.8395373353724629,,0.17406103213628135,0.005884724174229562,{'runtime': 343},0.0020637421296277178,1715245364.92547,,29,0.8580323949397686,0.801605504587156,5.105063998699188,31620,344.16100311279297,0.7441543340682983,4.931002966562907,,,,,,994,30,300,adam,64,,,,0.01,,,,,,,,
31,neat-sweep-9,06gu52up,sentemb_bow_run,lhj7yisr,0.8165429480381761,301,0.840606393561894,,0.22773012320200603,0.005879194278726174,{'runtime': 556},0.002075575155402542,1715245004.4018018,,29,0.8589300498048543,0.801605504587156,8.642415821552277,31620,556.7256927490234,0.3617931306362152,8.414685698350269,,,,,,674,30,300,adam,64,,,,0.01,,,,,,,,
32,spring-sweep-8,x2tzzwio,sentemb_bow_run,lhj7yisr,0.816414686825054,301,0.8390918944601998,,0.2245481053988139,0.005882456520125567,{'runtime': 545},0.002052825217673538,1715244428.8440526,,29,0.8575597061027064,0.805045871559633,8.471644127368926,31620,546.1163516044617,0.5762952566146851,8.247096021970114,,,,,,18,30,300,adam,64,,,,0.01,,,,,,,,
33,ruby-sweep-7,z1gp241i,sentemb_bow_run,lhj7yisr,0.812972972972973,301,0.8396264235549155,,0.2240679621696472,0.005882645876981571,{'runtime': 554},0.002090382466622449,1715243875.8185146,,29,0.8580067572008887,0.801605504587156,8.61320861975352,31620,554.8628096580505,0.39494913816452026,8.389140657583871,,,,,,87,30,300,adam,64,,,,0.01,,,,,,,,
34,earthy-sweep-6,lxs0bs0r,sentemb_bow_run,lhj7yisr,0.814968814968815,301,0.839908536132682,,0.23441230853398645,0.005877532446686573,{'runtime': 584},0.0020782387037889673,1715243303.5771325,,29,0.8583998739230931,0.7958715596330275,9.122580786546072,31620,584.4126334190369,0.3436588943004608,8.888168478012084,,,,,,569,30,300,adam,64,,,,0.01,,,,,,,,
35,frosty-sweep-5,pwfxfmjo,sentemb_bow_run,lhj7yisr,0.811534500514933,301,0.8396412715853242,,0.2297196586926778,0.005882898923474542,{'runtime': 585},0.002128187772057472,1715242708.77583,,29,0.85794707213132,0.7901376146788991,9.13009097178777,31620,585.4798250198364,0.3836577832698822,8.900371313095095,,,,,,599,30,300,adam,64,,,,0.01,,,,,,,,
