,n_pos_enc_params,_timestamp,dev accuracy,n_clas_params,n_circ_params,train accuracy,_step,_runtime,n_all_params,loss,dev loss,total epoch time,epoch,batch loss,n_bias_params,train F1,dev F1,dev eval epoch time,train epoch time,run_id,n_batch_norm_params
2112,,1715338308.2444146,0.6444954128440367,,,0.6527342647997743,2112,642.9346694946289,,0.004892799190130475,0.002904844051654186,10.109182031949363,3.0,,,0.6961176654020061,0.6743697478991597,0.02749548355738322,10.081686548391978,mo5x80pt,
2640,,1715338459.6662905,0.6502293577981652,,,0.6569362574054551,2640,794.3565454483032,,0.004853568914626959,0.0028933730967547915,12.632875426610312,4.0,,,0.6965019900432161,0.6792849631966351,0.03436246713002523,12.598512959480287,mo5x80pt,
3168,,1715338611.9439507,0.6513761467889908,,,0.6621627641093409,3168,946.6342055797577,,0.004812583808075936,0.0028085289608447924,15.170831799507141,5.0,,,0.6994279977278431,0.6779661016949152,0.04108306169509888,15.129748737812044,mo5x80pt,
3696,,1715338764.0619872,0.6536697247706422,,,0.6692155785535049,3696,1098.7522420883179,,0.00477350274994955,0.002830814672719448,17.706128470102946,6.0,,,0.7038445177071148,0.6800847457627118,0.04792756636937459,17.658200903733572,mo5x80pt,
4224,,1715338915.4073017,0.6502293577981652,,,0.6739521002539013,4224,1250.097556591034,,0.004729683923941504,0.0028077577915760353,20.22854641278585,7.0,,,0.706935899318021,0.6799580272822665,0.05492933591206868,20.173617076873782,mo5x80pt,
4752,,1715339066.8736928,0.6525229357798165,,,0.6798616163565903,4752,1401.5639476776123,,0.004691023837944969,0.0028536141328855394,22.75298237403234,8.0,,,0.7121861359176644,0.6813880126182965,0.06164683103561401,22.691335542996725,mo5x80pt,
5280,,1715339218.4988563,0.6605504587155964,,,0.6850881230604761,5280,1553.1891112327576,,0.004648169242671434,0.002783767400531594,25.280064050356547,9.0,,,0.7151127647856864,0.6877637130801688,0.06839657227198283,25.211667478084564,mo5x80pt,
5808,,1715339370.4891653,0.6674311926605505,,,0.6878053126252802,5808,1705.1794202327728,,0.004617182833202967,0.00283484167735511,27.81323178211848,10.0,,,0.7179913624292497,0.6940928270042194,0.0750857432683309,27.738146038850147,mo5x80pt,
6336,,1715339522.3496668,0.676605504587156,,,0.6926606185689468,6336,1857.039921760559,,0.004583209441512423,0.0027293353726010805,30.344236155351002,11.0,,,0.721604282390284,0.7031578947368421,0.08202316761016847,30.26221298774083,mo5x80pt,
6864,,1715339673.9111478,0.6743119266055045,,,0.6931951476636624,6864,2008.601402759552,,0.004563028762776998,0.0027839769053896635,32.87025690476099,12.0,,,0.7218415561688093,0.6991525423728814,0.08892534573872884,32.78133155902226,mo5x80pt,
7392,,1715339825.4718168,0.6823394495412844,,,0.6961796017758244,7392,2160.1620717048645,,0.004546473660970538,0.0027083967120275585,35.39626406431198,13.0,,,0.7233444201076228,0.708113804004215,0.09567114114761353,35.300592923164366,mo5x80pt,
7920,,1715339977.4344497,0.6754587155963303,,,0.6980207575465115,7920,2312.1247045993805,,0.00452739187323381,0.0026914713169456624,37.92897061904271,14.0,,,0.7243127473838312,0.6998939554612937,0.10274367729822795,37.82622694174449,mo5x80pt,
8448,,1715340128.9577098,0.6869266055045872,,,0.7021485100001484,8448,2463.6479647159576,,0.004512459484848934,0.002717859974694908,40.454354651768995,15.0,,,0.7281621812071443,0.7104984093319194,0.10956775744756063,40.344786894321444,mo5x80pt,
